id,tweet,subtask_a,subtask_b,subtask_c,subtask_c_ii,subtask_c_iii,tweet_cleaned
37482,@USER no shhhh he is proud of u,NOT,,,,,no shhhh he is proud of u
73203,@USER Couldn't care less about either one of them.,NOT,,,,,couldnt care less about either one of them
66497,@USER @USER My Stoned Wheat Crackers! Where the hell did they put the Stoned Wheat Crackers?,OFF,UNT,,,,my stoned wheat crackers where the hell did they put the stoned wheat crackers
18028,Remember when OK was OK. #Tcot #ccot #MAGA #KAG #Qanon #WalkAway  #WWG1WGA #Kavanaugh URL,NOT,,,,,remember when ok was ok
95987,#fordnation #onpoli #Conservatives #Conservative #onpc  Just because you can doesn't mean you should. Great power comes with great responsibility. By invoking art. 33 and overriding our judicial processes you're overriding our democracy.  URL,OFF,UNT,,,,just because you can doesnt mean you should great power comes with great responsibility by invoking art 33 and overriding our judicial processes youre overriding our democracy
65587,"@USER @USER Common sense gun control"" would indicate Looney Leftists should not be in possession of firearms.  For their own safety.""",NOT,,,,,common sense gun control would indicate looney leftists should not be in possession of firearms  for their own safety
82711,@USER I hadn't really thought of it since I only really worship the Aesir. Though lots of people like to use the Vanir in arguments as examples of this or that. Modern liberals saying it is race mixing for instance. Theologically we don't recognize much different between tribes though.,NOT,,,,,i hadnt really thought of it since i only really worship the aesir though lots of people like to use the vanir in arguments as examples of this or that modern liberals saying it is race mixing for instance theologically we dont recognize much different between tribes though
36795,@USER       Thank you for your fortitude and perseverance. Please give McConnell a kick in the butt from some of us conservatives.,OFF,TIN,IND,IND,,thank you for your fortitude and perseverance please give mcconnell a kick in the butt from some of us conservatives
93396,@USER 1. Six year-old tweet from an account I don't control referencing my previous time slot 2. Refers to Bloomberg's call for gun control. Not mine. Michael Bloomberg.,NOT,,,,,1 six yearold tweet from an account i dont control referencing my previous time slot 2 refers to bloombergs call for gun control not mine michael bloomberg
88956,@USER Exactly this Anna! She is full of it.,NOT,,,,,exactly this anna she is full of it
63418,@USER Hi has me energized.  @USER  He is such an idiot!  I can’t believe he “surfaced” again.,NOT,,,,,hi has me energized    he is such an idiot  i can’t believe he “surfaced” again
87311,@USER Get another disgrace.,NOT,,,,,get another disgrace
21223,@USER YESSSSSHHHHH who else call you shitgull if it were not me or ryme 😚,OFF,TIN,IND,IND,,yessssshhhhh who else call you shitgull if it were not me or ryme
81763,"@USER @USER @USER I want to make clear I don't think gun control"" is the answer people are looking for as far as gun violence is concerned. I do find that people should focus on mental health and bullying in schools if they want to address the root of the problem.""",NOT,,,,,i want to make clear i dont think gun control is the answer people are looking for as far as gun violence is concerned i do find that people should focus on mental health and bullying in schools if they want to address the root of the problem
56361,@USER @USER She's been active on Instagram lately. And she is dropping an album sometime this year.,NOT,,,,,shes been active on instagram lately and she is dropping an album sometime this year
98780,@USER Makes you realize how good he is with words. Too bad the PC crowd keeps him toned down.,NOT,,,,,makes you realize how good he is with words too bad the pc crowd keeps him toned down
25469,@USER She’s one of those ‘kooky’ liberals.,OFF,TIN,IND,IND,,she’s one of those ‘kooky’ liberals
74815,@USER Like if you didn’t get fired from ESPN,OFF,TIN,IND,IND,,like if you didn’t get fired from espn
48283,@USER @USER I don't understand how it's racist tho..,NOT,,,,,i dont understand how its racist tho
20855,@USER It’s (she) is a real problem.,NOT,,,,,it’s she is a real problem
67895,@USER those students not traumatised by having live shooter drills or distracted by fear of being killed at school are already doing their best. Send YOUR kid to one of those schools and we might get some action on gun control. Hypocrite.,OFF,TIN,IND,IND,,those students not traumatised by having live shooter drills or distracted by fear of being killed at school are already doing their best send your kid to one of those schools and we might get some action on gun control hypocrite
99912,@USER @USER Poor sad liberals. No hope for them.,OFF,TIN,GRP,OTH,GRP,poor sad liberals no hope for them
69106,I got more common sense than all of my followers  :),OFF,TIN,GRP,OTH,GRP,i got more common sense than all of my followers
47490,@USER CBS sez CEO Leslie Moonves' out on his ass after several allegations he was chasing ass... COO Joseph Iannello will be interim CEO until somebody accuses him of the same thing... This 'shit' never ends... Ooops...,OFF,TIN,IND,IND,,cbs sez ceo leslie moonves out on his ass after several allegations he was chasing ass coo joseph iannello will be interim ceo until somebody accuses him of the same thing this shit never ends ooops
53550,@USER sorry for so much bs to get to this but here is the article i read URL,NOT,,,,,sorry for so much bs to get to this but here is the article i read
36268,@USER @USER @USER @USER @USER @USER You're absolutely insane if you think a hearing for a supreme court judge is a appropriate place for a mourning father to talk about gun control. He doesn't enact laws....he upholds them. He should have demanded his state senator shake his hand,NOT,,,,,youre absolutely insane if you think a hearing for a supreme court judge is a appropriate place for a mourning father to talk about gun control he doesnt enact lawshe upholds them he should have demanded his state senator shake his hand
97751,"@USER ATTENTION! @USER is publicizing an ANTIFA TARGET  list comprised of Trump Supporters' names. Some are high profile names and MANY are random everyday Trump supporters. Twitter has NOT suspended his account. Check out his Lists"".""",NOT,,,,,attention  is publicizing an antifa target  list comprised of trump supporters names some are high profile names and many are random everyday trump supporters twitter has not suspended his account check out his lists
77519,@USER Even if the devil did make every single one of those priests rape children... Why does the pope refuse to condemn it? Why didn't he remove from leadership the rapist brought to him?,OFF,TIN,OTH,OTH,OTH,even if the devil did make every single one of those priests rape children why does the pope refuse to condemn it why didnt he remove from leadership the rapist brought to him
79254,"@USER I do like your tweets!, But maybe you should be more focused on consolidating them and sending fewer out, I miss many of them and you leave yourself open to the New Liberal Fascist Movement Antifa?""""",NOT,,,,,i do like your tweets but maybe you should be more focused on consolidating them and sending fewer out i miss many of them and you leave yourself open to the new liberal fascist movement antifa
20232,@USER I didn’t tweet this lol I needa get my Twitter off this shit,OFF,TIN,IND,IND,,i didn’t tweet this lol i needa get my twitter off this shit
85623,@USER Because he hates,NOT,,,,,because he hates
81520,@USER The hypocrisy of the #NEverTrump movement exposed. We hate Trump but thumbs up for his vile policies and anti abortion SCOTUS pick.  Why liberals claim them as our allies boggles my mind.,NOT,,,,,the hypocrisy of the  movement exposed we hate trump but thumbs up for his vile policies and anti abortion scotus pick  why liberals claim them as our allies boggles my mind
73901,@USER “Yes you are.. ”,NOT,,,,,“yes you are ”
11692,@USER @USER @USER ok say less im ready whenever he is,NOT,,,,,ok say less im ready whenever he is
47007,@USER 21k dong,NOT,,,,,21k dong
32990,@USER She is.  Ur screwed.  Trump owns scotus and he will exact a wrath upon enemies after the midterms,OFF,TIN,IND,IND,,she is  ur screwed  trump owns scotus and he will exact a wrath upon enemies after the midterms
25217,@USER @USER No one cares about her gold digging and possibly illegal recordings.,NOT,,,,,no one cares about her gold digging and possibly illegal recordings
82335,@USER @USER You mean you didn’t see AntiFa there?,NOT,,,,,you mean you didn’t see antifa there
64626,@USER Then HAUL YOUR FAT ASS IN HARMS WAY YOU DRUGGIE!!!,OFF,TIN,IND,IND,,then haul your fat ass in harms way you druggie
55335,@USER You are only believing her Because she is a Women.,NOT,,,,,you are only believing her because she is a women
59463,@USER @USER Yup hahaha she is cute,NOT,,,,,yup hahaha she is cute
43688,@USER He knows you’ll deny him a fair exchange - Based on recent and past interactions with Conservatives - Speaks to your poor ratings.,NOT,,,,,he knows you’ll deny him a fair exchange  based on recent and past interactions with conservatives  speaks to your poor ratings
38710,@USER I really think he is going to be GOOOOOOOOOOOOD.,NOT,,,,,i really think he is going to be gooooooooooood
32365,we need more unity to grow our voices.........libs seem to band together much better than right........FOLLOW ALL #MAGA patriots please!!!  🇺🇸 URL,NOT,,,,,we need more unity to grow our voiceslibs seem to band together much better than rightfollow all  patriots please
57061,"#Trump #MAGA | @USER : Jack Dorsey, to his credit, has openly acknowledged that he has a culture within his company that is hostile to conservatives. Now the question is, what is he going to do about it?"" URL  URL |""",NOT,,,,,jack dorsey to his credit has openly acknowledged that he has a culture within his company that is hostile to conservatives now the question is what is he going to do about it
87953,@USER He was the victim.  Now let’s hear about her blood test since she is the perpetrator.  What shape was she in?,NOT,,,,,he was the victim  now let’s hear about her blood test since she is the perpetrator  what shape was she in
29587,@USER @USER They will be cheating if she gets it!,NOT,,,,,they will be cheating if she gets it
69177,@USER @USER You both look lovely! #FLOTUSrocks #MAGA 🇺🇸🙌🏾,NOT,,,,,you both look lovely
80339,Sorry right wingers 😳😉”Look for a Kaepernick sales 'bump' in Nike's earnings next week” #NikeAd #BoycottNFL #BoycottNike #maga  URL,NOT,,,,,sorry right wingers ”look for a kaepernick sales bump in nikes earnings next week”
75757,"@USER No she hasn't. What reform""? She is getting Trump to free particular famous people, in exchange for attention. The policies are worse now.""",NOT,,,,,no she hasnt what reform she is getting trump to free particular famous people in exchange for attention the policies are worse now
59465,@USER IT'S FUCKING TIME!!,NOT,,,,,its fucking time
98025,@USER You are 100% correct,NOT,,,,,you are 100 correct
39729,@USER @USER Anyone can say or write anything about themselves. Suppose tomorrow she says that she is a prophet and human race needs to follow her.  What does that tell about her ?  Once I see someone as useless moron I stop giving them any attention. You do the same brother. She is nobody.,OFF,TIN,IND,IND,,anyone can say or write anything about themselves suppose tomorrow she says that she is a prophet and human race needs to follow her  what does that tell about her   once i see someone as useless moron i stop giving them any attention you do the same brother she is nobody
11741,".@USER   What say you now?  I guess it's ✌️for liberals to use the so called white power"" gesture.  URL",NOT,,,,,what say you now  i guess its for liberals to use the so called white power gesture
81331,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Hahaha by telling me to stfu?  So hurt 🤣,NOT,,,,,hahaha by telling me to stfu  so hurt
25226,@USER @USER Loool. It is 🙈 he’s half Jamaican isn’t he? Does he resonate more with African culture? I know the rest of you are African. It’s just that I didn’t feel there was a strong representation from anyone Caribbean to be able to share their thoughts on a Caribbean carnival that’s all.,NOT,,,,,loool it is  he’s half jamaican isn’t he does he resonate more with african culture i know the rest of you are african it’s just that i didn’t feel there was a strong representation from anyone caribbean to be able to share their thoughts on a caribbean carnival that’s all
93137,@USER You are definitely living outside DC. I can’t get this book through Amazon in VA for two weeks becaus it’s back ordered. The first print is 1 M copies!,NOT,,,,,you are definitely living outside dc i can’t get this book through amazon in va for two weeks becaus it’s back ordered the first print is 1 m copies
46114,"@USER its so cool that the blind idiot god"" concept is already a real thing from a religion thousands of years old but peopl ehave to make it a fucking cthulhu reference for retard cred""",OFF,UNT,,,,its so cool that the blind idiot god concept is already a real thing from a religion thousands of years old but peopl ehave to make it a fucking cthulhu reference for retard cred
58189,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ‘😂.... it’s ALL about MAGA for me....as a very dear friend says   •1Million followers and $1.95 will buy you ☕️😂  #FACT,NOT,,,,,‘ it’s all about maga for meas a very dear friend says   •1million followers and 195 will buy you
79603,@USER @USER @USER The tourist on holiday with his parents place a sticker on a pole in Turkey while his parents ate a restaurant and you call that support,NOT,,,,,the tourist on holiday with his parents place a sticker on a pole in turkey while his parents ate a restaurant and you call that support
93056,@USER @USER He is delirious!,OFF,TIN,IND,IND,,he is delirious
85757,@USER How is this possible?  Brady gave California a A+ rating on gun control.,NOT,,,,,how is this possible  brady gave california a a rating on gun control
92745,@USER I love that she is using her platform for something positive and meaningful.. 🙌🏽💯👏🏽,NOT,,,,,i love that she is using her platform for something positive and meaningful
32139,@USER Rezz is a dumb bitch who will get a rude awakening from BNF in Mexico lol URL,OFF,TIN,IND,IND,,rezz is a dumb bitch who will get a rude awakening from bnf in mexico lol
59690,Alert: Candace Owens Was Just Attacked By Antifa URL,OFF,TIN,IND,IND,,alert candace owens was just attacked by antifa
69531,@USER Breibart=Comic section!,NOT,,,,,breibartcomic section
47986,@USER Got beat by WWE....take another knee.,NOT,,,,,got beat by wwetake another knee
95846,@USER @USER @USER I don't think he is,NOT,,,,,i dont think he is
23311,@USER Another dumbass Democrat. One thing you have to say about this president is he’s not lazy. Another bullshit story as usual,OFF,TIN,GRP,OTH,GRP,another dumbass democrat one thing you have to say about this president is he’s not lazy another bullshit story as usual
98406,"@USER @USER @USER @USER The tenet of our American Justice system...accompanies to liberals GUILTY UNTIL PROVEN INNOCENT!"" URL",NOT,,,,,the tenet of our american justice systemaccompanies to liberals guilty until proven innocent
65228,@USER Thank you Secretary Pompeo for all your hard work! You sir are a true patriot! God bless America! #MAGA,NOT,,,,,thank you secretary pompeo for all your hard work you sir are a true patriot god bless america
80267,@USER So the FBI is a hotbed of liberals and leftists???? 🤣🤣🤣🤣 you are no Brian Dennehy.,NOT,,,,,so the fbi is a hotbed of liberals and leftists  you are no brian dennehy
33600,@USER @USER when robyn posts a selfie the world stops for a moment to appreciate it,OFF,TIN,IND,IND,,when robyn posts a selfie the world stops for a moment to appreciate it
79122,@USER @USER @USER The Democrats are so desperate all those ppl threatening Sen Collins are from CA. They will do anything to delay or halt confirmation and @USER re-election is on the line she is desperate. The ppl &amp; GOP are quite aware of what is going on.,OFF,TIN,GRP,OTH,GRP,the democrats are so desperate all those ppl threatening sen collins are from ca they will do anything to delay or halt confirmation and  reelection is on the line she is desperate the ppl  gop are quite aware of what is going on
10821,@USER @USER @USER @USER @USER  Who is Flake? If Flake wants to be someone &amp; heard stand for Senate race!,NOT,,,,,who is flake if flake wants to be someone  heard stand for senate race
62976,@USER ROMY OMFG IM SOOO GLAD I MET YOU TOO BFF FOR LIFE ! YOU ARE THE BEST I LOVE TALKING TO YOU,NOT,,,,,romy omfg im sooo glad i met you too bff for life  you are the best i love talking to you
58576,@USER So it moves forward. Damn the facts as long as you keep up the narrative! The Dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify Conservatives or justify the actions of liberals,OFF,TIN,GRP,OTH,GRP,so it moves forward damn the facts as long as you keep up the narrative the dangerous line is the sliding scale line that you bunch of liberal idiots use to vilify conservatives or justify the actions of liberals
40912,@USER So black people need white liberals like you to keep them from turning to violence based on things they perceive to be offensive?,NOT,,,,,so black people need white liberals like you to keep them from turning to violence based on things they perceive to be offensive
80922,VOTING IS NOT OPTIONAL!!! CERTAINLY NOT THIS NOVEMEBER…IT IS CRITICAL! LIKE &amp; SHARE IF YOU AGREE! #MustVote2018 #Republicans #WakeUpRepublicans #Conservatives #MAGA URL,NOT,,,,,voting is not optional certainly not this novemeber…it is critical like  share if you agree
70525,@USER Poor Baby.  This is why you and your entire network CAN NOT be trusted.    The only people still watching CNN are brainwashed liberals and demonrats. URL,OFF,TIN,GRP,OTH,GRP,poor baby  this is why you and your entire network can not be trusted    the only people still watching cnn are brainwashed liberals and demonrats
93516,@USER Get the hell out of my country that u hate @USER the u have trashed &amp; weaponized OUR GOVT for 8 yrs to destroy us &amp; quit telling our kids to hate the best county your a disgrace!,NOT,,,,,get the hell out of my country that u hate  the u have trashed  weaponized our govt for 8 yrs to destroy us  quit telling our kids to hate the best county your a disgrace
21099,@USER He’s going down with the rest of them #deepstate #ObamaWorstPresidentEver,NOT,,,,,he’s going down with the rest of them
36863,#Parents of Parkland #victims call for stricter #gun control at rally - Sep 8 @ 11:29 PM ET  URL,NOT,,,,,of parkland  call for stricter  control at rally  sep 8  1129 pm et
88561,"@USER @USER She's right, she's not one of,"" she is ""the one and only.""""",NOT,,,,,shes right shes not one of she is the one and only
33516,"@USER Best part is if you read the exchange he had in that thread, a year later this dude comes back on his same blm and Antifa caused nazis"" bullshit lmao.   And by ""best"" i mean saddest.""",NOT,,,,,best part is if you read the exchange he had in that thread a year later this dude comes back on his same blm and antifa caused nazis bullshit lmao   and by best i mean saddest
95745,@USER and that was all done before I was 25 younger then this moron at 18 I was at Parris Island and at 25 I was at the New Jersey State Police Academy for a municipal class for 14 weeks she was tending bar at 25 and listening to all her drinking customers she is a joke,NOT,,,,,and that was all done before i was 25 younger then this moron at 18 i was at parris island and at 25 i was at the new jersey state police academy for a municipal class for 14 weeks she was tending bar at 25 and listening to all her drinking customers she is a joke
69004,@USER @USER (She is clearly agitated in a defensive stance) Shit- what is she doing here,OFF,TIN,IND,IND,,she is clearly agitated in a defensive stance shit what is she doing here
64362,@USER @USER I think they meant to write Michael.,NOT,,,,,i think they meant to write michael
57217,@USER @USER @USER @USER Who is ok with Antifa? I’m not. There are medicines for your condition ma’am...,NOT,,,,,who is ok with antifa i’m not there are medicines for your condition ma’am
33099,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are suggesting that it is not the     law and policy (sanctions regime) that informs rates of benefit sanctions. The graph would suggest that is true as by 2017 the sanctions rate was lower than it was under the previous sanctions regime. Good observations about pressure""++""",NOT,,,,,you are suggesting that it is not the     law and policy sanctions regime that informs rates of benefit sanctions the graph would suggest that is true as by 2017 the sanctions rate was lower than it was under the previous sanctions regime good observations about pressure
28518,@USER Then your gonna get bitten,OFF,TIN,IND,IND,,then your gonna get bitten
57434,"@USER @USER @USER @USER @USER @USER @USER For example, I don't think that liberal imposition or inauthenticity"" is the issue here. The issue is that of borders and citizenship - liberals assume the same rights and equalities arguments apply across borders that apply within borders. But that is not a widely shared view.""",NOT,,,,,for example i dont think that liberal imposition or inauthenticity is the issue here the issue is that of borders and citizenship  liberals assume the same rights and equalities arguments apply across borders that apply within borders but that is not a widely shared view
38241,@USER He looks like the ANTIFA President?,NOT,,,,,he looks like the antifa president
48529,@USER @USER @USER Alaska Girl chiming in...if Murkowski votes yes she is done for!! From what I know most native tribes have told her to vote no! Kavanaugh on scotus would decimate Alaska Natives!!,NOT,,,,,alaska girl chiming inif murkowski votes yes she is done for from what i know most native tribes have told her to vote no kavanaugh on scotus would decimate alaska natives
38280,@USER @USER send in some of your antifa super soldiers to sort these Tommy Robinson fans out.,NOT,,,,,send in some of your antifa super soldiers to sort these tommy robinson fans out
97893,@USER is for everyday working men and women. Vote Republican and keep Trump and his policies.  A vote for a @USER will cost you money folks. #MAGA #WINNING URL,NOT,,,,,is for everyday working men and women vote republican and keep trump and his policies  a vote for a  will cost you money folks
77529,@USER Woodword's book is slander.  He is nothing but a Clown Tool!,OFF,TIN,IND,IND,,woodwords book is slander  he is nothing but a clown tool
42005,@USER How many more??? This country MUST address sensible gun control! This is more than ENOUGH!!!  VOTE BLUE! GET THIS GARBAGE CLEANED OFF OUR STREETS!,OFF,UNT,,,,how many more this country must address sensible gun control this is more than enough  vote blue get this garbage cleaned off our streets
25305,@USER It appears to be paired with a WOO-HOO so he must think he is on his way to a brothel.,OFF,TIN,IND,IND,,it appears to be paired with a woohoo so he must think he is on his way to a brothel
70652,@USER @USER @USER She is mentally unstable.,OFF,TIN,IND,IND,,she is mentally unstable
60071,@USER Character and Clinton. Cartoon maybe,OFF,TIN,IND,IND,,character and clinton cartoon maybe
68336,@USER Yup total gun control works just fine.  Well not in Mexico.,NOT,,,,,yup total gun control works just fine  well not in mexico
58551,--; @USER Good friends are like stars: You don’t always see them but you know they are there. You are a star in my life. ☆ URL,NOT,,,,,good friends are like stars you don’t always see them but you know they are there you are a star in my life
12602,@USER @USER @USER @USER @USER @USER @USER @USER @USER I like that they aren't mincing around with her. I do not understand why she is denying doing porn.,OFF,TIN,IND,IND,,i like that they arent mincing around with her i do not understand why she is denying doing porn
68627,"@USER How many are willing to testify under oath that they actually knew Kavanaugh? How many would testify to having said NO"" to Kavanaugh? Until you have said ""no"" to man, you do not know what he is like.""",NOT,,,,,how many are willing to testify under oath that they actually knew kavanaugh how many would testify to having said no to kavanaugh until you have said no to man you do not know what he is like
35933,"@USER @USER @USER @USER @USER FEMA has contacted the Senator and was told.its a TV hit you take them when you can"" He Is a liar.  If he had a set... he would put on his big girl panties and tell the truth!""",OFF,TIN,IND,IND,,fema has contacted the senator and was toldits a tv hit you take them when you can he is a liar  if he had a set he would put on his big girl panties and tell the truth
66631,@USER But I thought Antifa were actually fascists but this shows Rethuglicans are the actual fascists in the room.,OFF,TIN,GRP,OTH,GRP,but i thought antifa were actually fascists but this shows rethuglicans are the actual fascists in the room
47401,@USER What you thinking about ?,NOT,,,,,what you thinking about
70446,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER So absurd.  The left has been fielding violent feminists and communists in the form of Antifa to attack the very peaceful transition of power for more than two years.    I wonder if it will ever occur to you that you are the bad guys?  I doubt you have the moral fortitude.,OFF,TIN,GRP,OTH,GRP,so absurd  the left has been fielding violent feminists and communists in the form of antifa to attack the very peaceful transition of power for more than two years    i wonder if it will ever occur to you that you are the bad guys  i doubt you have the moral fortitude
98470,@USER Why r u still pushing this. He is burnt. He has been outed as a sexual predator and Feinstein is ur new hero. Mondy there will be a list of women a mile long that he raped or worse. It's all Trumps fault.,NOT,,,,,why r u still pushing this he is burnt he has been outed as a sexual predator and feinstein is ur new hero mondy there will be a list of women a mile long that he raped or worse its all trumps fault
26783,Anyone surprised? @USER  #CloserNation  #MAGA #QAnon URL,OFF,TIN,OTH,OTH,OTH,anyone surprised
10826,@USER Reports reaching you? But you tweeted earlier that you are at the Kaduna Stadium,NOT,,,,,reports reaching you but you tweeted earlier that you are at the kaduna stadium
60023,@USER You are an amazing mom❤ URL,NOT,,,,,you are an amazing mom
49939,@USER Not if you are from Wisconsin. And it’s a bubbler. And duck duck goose.,OFF,TIN,IND,IND,,not if you are from wisconsin and it’s a bubbler and duck duck goose
21597,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all MAGA,NOT,,,,,followed all maga
21612,@USER Can we please now be honest with ourselves and acknowledge this trans stuff is a mental disorder? And NOT normal human behavior?,NOT,,,,,can we please now be honest with ourselves and acknowledge this trans stuff is a mental disorder and not normal human behavior
23818,"@USER Good liberals will allow a rapist"" to continue serving on a federal district court while his victim continues to suffer?    But...you said....you said....""",OFF,TIN,IND,IND,,good liberals will allow a rapist to continue serving on a federal district court while his victim continues to suffer    butyou saidyou said
35823,@USER Then why are you pretending to be something your not???You are a phony and all your lies won't change that!,OFF,TIN,IND,IND,,then why are you pretending to be something your notyou are a phony and all your lies wont change that
50664,@USER @USER @USER @USER @USER No it's genetic.   Being racial isn't racist  This was co opted by the liberals and twisted into something it's not.   The actual definition of racism is thinking one race is better or inferior to another race    So (looking out for your own race) doesn't meet the definition,NOT,,,,,no its genetic   being racial isnt racist  this was co opted by the liberals and twisted into something its not   the actual definition of racism is thinking one race is better or inferior to another race    so looking out for your own race doesnt meet the definition
11075,@USER Beer can red cabbage also owns the conservatives URL,NOT,,,,,beer can red cabbage also owns the conservatives
77455,Give me a break!!  #Unbelievable #liberallosers #Trumpman #MAGA #DrainTheSwamp URL,NOT,,,,,give me a break
46203,@USER @USER So is Marr really a member of the Labour Party? And Attlee and Orwell said they were conservatives? I am interested in why you think Labour is conservative.  However I don't see liberal as the opposite of conservative. Liberal poltics and economics are both right wing. Imho :),NOT,,,,,so is marr really a member of the labour party and attlee and orwell said they were conservatives i am interested in why you think labour is conservative  however i dont see liberal as the opposite of conservative liberal poltics and economics are both right wing imho
58382,@USER @USER @USER @USER Seriously 😂 no word of a lie though I am all done with live feeds after she is evicted. I cannot handle another second of all the other houseguests,NOT,,,,,seriously  no word of a lie though i am all done with live feeds after she is evicted i cannot handle another second of all the other houseguests
17946,"@USER She is never been tortured"" She was ans still be a crminal, terrorist, must be in jail!""",NOT,,,,,she is never been tortured she was ans still be a crminal terrorist must be in jail
25800,@USER Behar..Aren’t you Jewish?  Do you really “NOT KNOW”...that you are supporting and siding with Nazis?  The Dems have been running Hitler’s Playbook for years!  WHY DO NEW YORK JEWS SIDE WITH NAZIS ? You Speak Against Israel.. WHY?  Are you Pandering in case they do take over? WHY?,NOT,,,,,behararen’t you jewish  do you really “not know”that you are supporting and siding with nazis  the dems have been running hitler’s playbook for years  why do new york jews side with nazis  you speak against israel why  are you pandering in case they do take over why
35887,@USER I feel as guys we rush into something because of how a girls looks. Without really knowing how she is. And once having her. Knowing her for who she is and realizing you dont want that without thinking of the implications or damage it can do to the girls mind.,NOT,,,,,i feel as guys we rush into something because of how a girls looks without really knowing how she is and once having her knowing her for who she is and realizing you dont want that without thinking of the implications or damage it can do to the girls mind
36639,@USER She mocked SJWs and the KKK with extremely clever satire. The fact you don’t have a sense of humor or are too stupid to get it is our fault. None of that means you get to denigrate or lie about her or her motives. She is a Native American woman and you are a bigoted misogynist.,OFF,TIN,IND,IND,,she mocked sjws and the kkk with extremely clever satire the fact you don’t have a sense of humor or are too stupid to get it is our fault none of that means you get to denigrate or lie about her or her motives she is a native american woman and you are a bigoted misogynist
68055,"@USER @USER @USER Medically this kind are known as Histrionic Personality Disorder"".BTW If she is brave enough to continue this heroineics with other holy books,then I will accept that India is definitely changing.""",NOT,,,,,medically this kind are known as histrionic personality disorderbtw if she is brave enough to continue this heroineics with other holy booksthen i will accept that india is definitely changing
82801,"@USER @USER @USER However if by at the top"" you mean Senior Engineers generally, then you are *once again* confusing individual competence - which surprise surprise hasn't changed - with organisational structure and competence. Good people thrive in a structure that allows things to get done""",NOT,,,,,however if by at the top you mean senior engineers generally then you are once again confusing individual competence  which surprise surprise hasnt changed  with organisational structure and competence good people thrive in a structure that allows things to get done
35959,@USER @USER @USER Are you saying he is a turkey chocker 😶,OFF,TIN,IND,IND,,are you saying he is a turkey chocker
48319,@USER @USER @USER I'd trust mark Dobson over you sorry lot running ( I use that term loosley) our fine city. Stop behaving like a petulant 6 year old and start doing what you are elected for.,NOT,,,,,id trust mark dobson over you sorry lot running  i use that term loosley our fine city stop behaving like a petulant 6 year old and start doing what you are elected for
14239,@USER @USER Such delusional liberals..! So twisted with hate you can't even acknowledge the U.S. Airforce..!!,OFF,TIN,OTH,OTH,OTH,such delusional liberals so twisted with hate you cant even acknowledge the us airforce
34178,@USER @USER She is better than all this shit. She is better than anything. ❤️,OFF,UNT,,,,she is better than all this shit she is better than anything
47703,@USER Comes with the territory but I’m going to say it’s the same leftist that control antifa...just to make more out of it than it actually is! Just saying,NOT,,,,,comes with the territory but i’m going to say it’s the same leftist that control antifajust to make more out of it than it actually is just saying
57197,@USER @USER @USER @USER This is why I don’t like liberals they don’t have a civil conversation or come with evidence just feelings and out of context quotes.,NOT,,,,,this is why i don’t like liberals they don’t have a civil conversation or come with evidence just feelings and out of context quotes
94756,@USER damn what i would do to be able to eat that pussy,OFF,TIN,IND,IND,,damn what i would do to be able to eat that pussy
13389,@USER I think liberals call that a front hole now. Been having fun with that one.,NOT,,,,,i think liberals call that a front hole now been having fun with that one
90701,@USER What exactly is it about Willy that anyone with half a brain would consider conservative?   The guy is literally a poster child for Liberals,OFF,TIN,IND,IND,,what exactly is it about willy that anyone with half a brain would consider conservative   the guy is literally a poster child for liberals
69315,@USER No worries Lou👍 God’s Hand is directing the TRUMP AGENDA and He will not be thwarted by Satan💥 GOD’s timing is not our timing. He is slowly revealing the Deep State SWAMP creatures‼️#REDtsunami2018 #TRUMP2020🇺🇸,NOT,,,,,no worries lou god’s hand is directing the trump agenda and he will not be thwarted by satan god’s timing is not our timing he is slowly revealing the deep state swamp creatures‼
68054,@USER He is correct,NOT,,,,,he is correct
83474,@USER @USER Sharyl Attkisson is NOT the MSM!  She is a truth-teller.,NOT,,,,,sharyl attkisson is not the msm  she is a truthteller
20770,@USER @USER Queen Of Rap 😛 Other Bitches can knot relate,OFF,TIN,IND,IND,,queen of rap  other bitches can knot relate
49300,@USER Well your a tool for the liberals so I’m not surprised you don’t see. Pretty much a tool in general...,NOT,,,,,well your a tool for the liberals so i’m not surprised you don’t see pretty much a tool in general
84125,@USER @USER She is great,NOT,,,,,she is great
78482,@USER I love her! She is the sweetest! 💕,NOT,,,,,i love her she is the sweetest
